search_term	prefix	rule_name	confidence	all_fields_raw_rows	prior_accepted_rows	non_target_organism_rows	target_organism_rows	clear_noise_rows	current_policy_recommendation	field_strategy_recommendation	example_title
XC[All Fields] AND 23[All Fields]	XC	contextual_reference_code	medium	46	0	46	0	46	disable_default	disable_default_do_not_replace_with_biosample	Metagenome or environmental sample from skin metagenome
PATEL[All Fields] AND 5[All Fields]	PATEL	person_or_local_reference_code	low	45	1	44	1	44	fallback_only	fallback_only_text_word_and_organism	JV-5-2
XC[All Fields] AND 9[All Fields]	XC	contextual_reference_code	medium	45	0	44	1	44	disable_default	disable_default_do_not_replace_with_biosample	Metagenome or environmental sample from soil metagenome
B[All Fields] AND 1374[All Fields]	B	source_context_single_letter_code	low	44	0	44	0	44	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
ZZ[All Fields] AND 24[All Fields]	ZZ	uppercase_general_code	medium	44	0	44	0	44	disable_default	disable_default_do_not_replace_with_biosample	Plant sample from Erigeron annuus
XH[All Fields] AND 5[All Fields]	XH	uppercase_general_code	medium	43	0	43	0	43	disable_default	disable_default_do_not_replace_with_biosample	Plant sample from Prorocentrum lima
XP[All Fields] AND 228[All Fields]	XP	contextual_reference_code	medium	43	0	43	0	43	disable_default	disable_default_do_not_replace_with_biosample	Sample 228
B[All Fields] AND 7567[All Fields]	B	source_context_single_letter_code	low	42	0	42	0	42	disable_default	disable_default_do_not_replace_with_biosample	BW6-7567-T1-ITS
B[All Fields] AND 1853[All Fields]	B	source_context_single_letter_code	low	41	0	41	0	41	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
ZO[All Fields] AND 2[All Fields]	ZO	contextual_reference_code	medium	41	0	41	0	41	disable_default	disable_default_do_not_replace_with_biosample	Metagenome or environmental sample from gut metagenome
CAJ[All Fields] AND 1[All Fields]	CAJ	general_code_candidate	low	41	1	40	1	40	fallback_only	fallback_only_text_word_and_organism	Cochlea, CBA/CaJ, 16W, mock 1
B[All Fields] AND 7791[All Fields]	B	source_context_single_letter_code	low	40	0	40	0	40	disable_default	disable_default_do_not_replace_with_biosample	ERR7745859_provirus.1194
UNB[All Fields] AND 46[All Fields]	UNB	contextual_reference_code	medium	40	0	40	0	40	disable_default	disable_default_do_not_replace_with_biosample	P-MAPS; 15088.UNB1944GFAP005.R.meta
B[All Fields] AND 1446[All Fields]	B	source_context_single_letter_code	low	39	0	39	0	39	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 3100[All Fields]	B	source_context_single_letter_code	low	39	0	39	0	39	disable_default	disable_default_do_not_replace_with_biosample	Bossera cristatocarpa - Phillipson, P.B. 3100 (K)
B[All Fields] AND 6149[All Fields]	B	source_context_single_letter_code	low	39	0	39	0	39	disable_default	disable_default_do_not_replace_with_biosample	Metagenome-Assembled Genome spire_mag_00587523 in SPIRE v01 classified as Gemmiger variabilis_B
ORELLANA[All Fields] AND 14[All Fields]	ORELLANA	person_or_local_reference_code	low	39	1	38	1	38	fallback_only	fallback_only_text_word_and_organism	Acaulimalva oriastrum - Whaley, O.; Orellana, A.; Mendoza, M. 426 (K); K001487630
B[All Fields] AND 3005[All Fields]	B	source_context_single_letter_code	low	38	0	38	0	38	disable_default	disable_default_do_not_replace_with_biosample	Metagenome-Assembled Genome spire_mag_02929308 in SPIRE v01 classified as Ruminococcus_E bromii_B
B[All Fields] AND 2175[All Fields]	B	source_context_single_letter_code	low	36	0	36	0	36	disable_default	disable_default_do_not_replace_with_biosample	Metagenome or environmental sample from metagenome
B[All Fields] AND 2290[All Fields]	B	source_context_single_letter_code	low	36	0	36	0	36	disable_default	disable_default_do_not_replace_with_biosample	Metagenome or environmental sample from metagenome
VIG[All Fields] AND 3[All Fields]	VIG	contextual_reference_code	medium	36	0	36	0	36	disable_default	disable_default_do_not_replace_with_biosample	"Landrace ""Nostrano Vig di Ton"" individual number: 3"
XP[All Fields] AND 237[All Fields]	XP	contextual_reference_code	medium	35	0	35	0	35	disable_default	disable_default_do_not_replace_with_biosample	Sample 237
B[All Fields] AND 2631[All Fields]	B	source_context_single_letter_code	low	34	0	34	0	34	disable_default	disable_default_do_not_replace_with_biosample	MIMARKS Survey related sample from rock metagenome
B[All Fields] AND 8718[All Fields]	B	source_context_single_letter_code	low	34	0	34	0	34	disable_default	disable_default_do_not_replace_with_biosample	B.SC.3P.126
LMG[All Fields] AND 708[All Fields]	LMG	known_collection_prefix	high	33	1	32	1	32	fallback_only	replace_all_fields_with_text_word_and_organism_then_pilot_attribute	Agrobacterium luteum NBRC 15768
XV[All Fields] AND E[All Fields] AND 3[All Fields]	XV-E	contextual_reference_code	medium	32	0	32	0	32	disable_default	disable_default_do_not_replace_with_biosample	Coral Tissue
XCC[All Fields] AND 3[All Fields]	XCC	contextual_reference_code	medium	79	0	31	48	31	manual_review_only	manual_review_only	III10-3_Control Xcc III
XB[All Fields] AND 10[All Fields]	XB	uppercase_general_code	medium	32	0	31	1	31	disable_default	disable_default_do_not_replace_with_biosample	JC_XB_128
XV[All Fields] AND 25[All Fields]	XV	uppercase_general_code	medium	31	0	31	0	31	disable_default	disable_default_do_not_replace_with_biosample	One Health Enteric sample from Shigella flexneri
B[All Fields] AND 5017[All Fields]	B	source_context_single_letter_code	low	30	0	30	0	30	disable_default	disable_default_do_not_replace_with_biosample	N6U-mineral-bacteria
P[All Fields] AND 2431[All Fields]	P	source_context_single_letter_code	low	30	0	30	0	30	disable_default	disable_default_do_not_replace_with_biosample	Air filter aerobiome sample from EVER1 collected on 2021-04-19
RC[All Fields] AND 2A[All Fields]	RC	uppercase_general_code	medium	29	0	29	0	29	disable_default	disable_default_do_not_replace_with_biosample	P20 cortical interneurons in control and in test condition with TeNT in Fezf2+ PNs
ZK[All Fields] AND 4[All Fields]	ZK	contextual_reference_code	medium	29	0	29	0	29	disable_default	disable_default_do_not_replace_with_biosample	IN48_4
B[All Fields] AND 2115[All Fields]	B	source_context_single_letter_code	low	28	0	28	0	28	disable_default	disable_default_do_not_replace_with_biosample	Metagenome-Assembled Genome spire_mag_01096831 in SPIRE v01 classified as Gemmiger variabilis_B
B[All Fields] AND 5577[All Fields]	B	source_context_single_letter_code	low	28	0	28	0	28	disable_default	disable_default_do_not_replace_with_biosample	B12
B[All Fields] AND 8613[All Fields]	B	source_context_single_letter_code	low	28	0	28	0	28	disable_default	disable_default_do_not_replace_with_biosample	MIGS Eukaryotic sample from Candolleomyces candolleanus
B[All Fields] AND 2536[All Fields]	B	source_context_single_letter_code	low	26	0	26	0	26	disable_default	disable_default_do_not_replace_with_biosample	BI-2536 1nM Round-01 (exp41)
BEHR[All Fields] AND 1[All Fields]	BEHR	person_or_local_reference_code	low	25	0	25	0	25	disable_default	disable_default_do_not_replace_with_biosample	"DNA sample from a human male participant in the dbGaP study ""eMERGE Network Imputed GWAS for 41 Phenotypes"""
B[All Fields] AND 2305[All Fields]	B	source_context_single_letter_code	low	25	0	25	0	25	disable_default	disable_default_do_not_replace_with_biosample	12871.2305; Cervicovaginal Microbiome in Hispanics using a multi-omics approach
B[All Fields] AND 8600[All Fields]	B	source_context_single_letter_code	low	25	0	25	0	25	disable_default	disable_default_do_not_replace_with_biosample	B.SLP.2P.174
B[All Fields] AND 9336[All Fields]	B	source_context_single_letter_code	low	25	0	25	0	25	disable_default	disable_default_do_not_replace_with_biosample	Metagenome-Assembled Genome spire_mag_00874046 in SPIRE v01 classified as Sphingorhabdus_B sp945882965
XCC[All Fields] AND 5[All Fields]	XCC	general_code_candidate	low	37	0	24	13	24	manual_review_only	manual_review_only	XCC-5 (SAMC4050479)
B[All Fields] AND 5632[All Fields]	B	source_context_single_letter_code	low	24	0	24	0	24	disable_default	disable_default_do_not_replace_with_biosample	5632_B_FungusInplanta_arath
B[All Fields] AND 5830[All Fields]	B	source_context_single_letter_code	low	24	0	24	0	24	disable_default	disable_default_do_not_replace_with_biosample	Metagenome-Assembled Genome spire_mag_00973725 in SPIRE v01 classified as Gemmobacter_B
B[All Fields] AND 6132[All Fields]	B	source_context_single_letter_code	low	24	0	24	0	24	disable_default	disable_default_do_not_replace_with_biosample	Metagenome-Assembled Genome spire_mag_00133603 in SPIRE v01 classified as Ottowia sp018060485
PATEL[All Fields] AND 7[All Fields]	PATEL	person_or_local_reference_code	low	24	1	23	1	23	fallback_only	fallback_only_text_word_and_organism	Plant sample from Picea abies
KAM[All Fields] AND 90[All Fields]	KAM	general_code_candidate	low	23	0	23	0	23	disable_default	disable_default_do_not_replace_with_biosample	Microbe sample from Tetragenococcus halophilus
PATEL[All Fields] AND 8[All Fields]	PATEL	person_or_local_reference_code	low	23	0	23	0	23	disable_default	disable_default_do_not_replace_with_biosample	JV-8-3
LMG[All Fields] AND 954[All Fields]	LMG	known_collection_prefix	high	22	0	22	0	21	disable_default	disable_default_do_not_replace_with_biosample	Azospirillum halopraeferens NBRC 107772
PATEL[All Fields] AND 9[All Fields]	PATEL	person_or_local_reference_code	low	22	0	22	0	22	disable_default	disable_default_do_not_replace_with_biosample	JV-9-3
B[All Fields] AND 5582[All Fields]	B	source_context_single_letter_code	low	21	0	21	0	21	disable_default	disable_default_do_not_replace_with_biosample	Metagenome-Assembled Genome spire_mag_00562503 in SPIRE v01 classified as Roseibacillus_B sp014240355
B[All Fields] AND 5078[All Fields]	B	source_context_single_letter_code	low	20	0	20	0	20	disable_default	disable_default_do_not_replace_with_biosample	Metagenome-Assembled Genome spire_mag_00292626 in SPIRE v01 classified as Ruminococcus_E bromii_B
B[All Fields] AND 7166[All Fields]	B	source_context_single_letter_code	low	20	0	20	0	20	disable_default	disable_default_do_not_replace_with_biosample	Genome skim of Paralichthys lethostigma VIMS:13579
S[All Fields] AND 62B[All Fields]	S	source_context_single_letter_code	low	20	0	20	0	20	disable_default	disable_default_do_not_replace_with_biosample	Solidago gigantea S_62B_P2s
NCPPB[All Fields] AND 702[All Fields]	NCPPB	ncppb_number	high	23	2	19	4	0	keep_strict_profile	replace_all_fields_with_text_word_and_organism	Pseudomonas flavescens NBRC 103044
B[All Fields] AND 4542[All Fields]	B	source_context_single_letter_code	low	19	0	19	0	19	disable_default	manual_review_only	Metagenome-Assembled Genome spire_mag_01782504 in SPIRE v01 classified as JABFSC01
B[All Fields] AND 6144[All Fields]	B	source_context_single_letter_code	low	19	0	19	0	19	disable_default	manual_review_only	Metagenome-Assembled Genome spire_mag_00493014 in SPIRE v01 classified as Polaromonas
XG[All Fields] AND 135[All Fields]	XG	general_code_candidate	low	19	0	19	0	19	disable_default	manual_review_only	Sample 135
B[All Fields] AND 7343[All Fields]	B	source_context_single_letter_code	low	18	0	18	0	18	disable_default	manual_review_only	Metagenome-Assembled Genome spire_mag_00494942 in SPIRE v01 classified as DP-20
B[All Fields] AND 8597[All Fields]	B	source_context_single_letter_code	low	18	0	18	0	18	disable_default	manual_review_only	B.SLR.1P.186
RC[All Fields] AND 4B[All Fields]	RC	contextual_reference_code	medium	18	0	18	0	18	manual_review_only	manual_review_only	MIMARKS Survey related sample from mouse gut metagenome
B[All Fields] AND 7205[All Fields]	B	source_context_single_letter_code	low	17	0	17	0	17	disable_default	manual_review_only	GE6-7205-T3-ITS
B[All Fields] AND 8059[All Fields]	B	source_context_single_letter_code	low	17	0	17	0	17	disable_default	manual_review_only	Metagenome-Assembled Genome spire_mag_00973489 in SPIRE v01 classified as Limnohabitans_A
ICMP[All Fields] AND 24[All Fields]	ICMP	known_collection_prefix	high	17	0	17	0	15	manual_review_only	manual_review_only	MIGS Eukaryotic sample from Pseudopithomyces toxicarius
XC[All Fields] AND 27[All Fields]	XC	contextual_reference_code	medium	19	3	16	3	16	manual_review_only	fallback_only_text_word_and_organism	XC-27
RIC[All Fields] AND 3[All Fields]	RIC	general_code_candidate	low	17	1	16	1	16	fallback_only	fallback_only_text_word_and_organism	Metagenome or environmental sample from sediment metagenome
B[All Fields] AND 8327[All Fields]	B	source_context_single_letter_code	low	16	0	16	0	16	disable_default	manual_review_only	Metagenome-Assembled Genome spire_mag_01118086 in SPIRE v01 classified as Brachymonas sp017993135
ICMP[All Fields] AND 167[All Fields]	ICMP	known_collection_prefix	high	16	0	16	0	16	manual_review_only	manual_review_only	MIGS Cultured Bacterial/Archaeal sample from Pseudomonas syringae pv. actinidiae
XCB[All Fields] AND 2[All Fields]	XCB	contextual_reference_code	medium	16	0	16	0	16	manual_review_only	manual_review_only	MIMARKS Specimen sample from synthetic metagenome
XS[All Fields] AND 52[All Fields] AND 5[All Fields]	XS	contextual_reference_code	medium	16	0	16	0	16	manual_review_only	manual_review_only	Invertebrate sample from Bursaphelenchus xylophilus
B[All Fields] AND 6812[All Fields]	B	source_context_single_letter_code	low	15	0	15	0	15	disable_default	manual_review_only	Metagenome-Assembled Genome spire_mag_02307986 in SPIRE v01 classified as Roseibacillus_B sp002380675
XC[All Fields] AND 64[All Fields]	XC	contextual_reference_code	medium	15	0	15	0	15	manual_review_only	manual_review_only	Metagenome or environmental sample from sheep gut metagenome
XL[All Fields] AND 59[All Fields] AND 10[All Fields]	XL	contextual_reference_code	medium	15	0	15	0	15	manual_review_only	manual_review_only	2022-W41 Uppsala Amplified SARS-CoV-2 RNA from wastewater
Z[All Fields] AND 291[All Fields]	Z	source_context_single_letter_code	low	15	0	15	0	15	disable_default	manual_review_only	Model organism or animal sample from Ovis aries
A[All Fields] AND 218[All Fields]	A	source_context_single_letter_code	low	14	0	14	0	14	disable_default	manual_review_only	Metagenome or environmental sample from metagenome
B[All Fields] AND 4687[All Fields]	B	source_context_single_letter_code	low	14	0	14	0	14	disable_default	manual_review_only	Metagenome-Assembled Genome spire_mag_02585280 in SPIRE v01 classified as Ottowia sp001262075
B[All Fields] AND 4929[All Fields]	B	source_context_single_letter_code	low	14	0	14	0	14	disable_default	manual_review_only	Invertebrate sample from Chilostoma foetens
B[All Fields] AND 9124[All Fields]	B	source_context_single_letter_code	low	14	0	14	0	14	disable_default	manual_review_only	ERR7746349_virus.4442
LMG[All Fields] AND 849[All Fields]	LMG	known_collection_prefix	high	14	0	14	0	14	manual_review_only	manual_review_only	Lysobacter concretionis NBRC 102010
NCPPB[All Fields] AND 4728[All Fields]	NCPPB	ncppb_number	high	14	0	14	0	0	keep_strict_profile	replace_all_fields_with_text_word_and_organism	Pathogen: clinical or host-associated sample from Pseudomonas savastanoi pv. savastanoi
RC[All Fields] AND 2B[All Fields]	RC	uppercase_general_code	medium	14	0	14	0	14	manual_review_only	manual_review_only	MIMARKS Specimen sample from Aphaenogaster sp.
ARUM[All Fields] AND 3[All Fields]	ARUM	general_code_candidate	low	13	0	13	0	13	disable_default	manual_review_only	GlagaharumVillage
B[All Fields] AND 3596[All Fields]	B	source_context_single_letter_code	low	13	0	13	0	13	disable_default	manual_review_only	Metagenome-Assembled Genome spire_mag_02822160 in SPIRE v01 classified as Ruminococcus_E bromii_B
B[All Fields] AND 3891[All Fields]	B	source_context_single_letter_code	low	13	0	13	0	13	disable_default	manual_review_only	000003891; American Gut Project
PP[All Fields] AND 223[All Fields]	PP	contextual_reference_code	medium	13	0	13	0	13	manual_review_only	manual_review_only	Metagenome or environmental sample from human oral metagenome
NCPPB[All Fields] AND 2016[All Fields]	NCPPB	ncppb_number	high	25	0	12	13	1	keep_strict_profile	replace_all_fields_with_text_word_and_organism	Agrobacterium rhizogenes NCPPB2659
B[All Fields] AND 5566[All Fields]	B	source_context_single_letter_code	low	12	0	12	0	12	disable_default	manual_review_only	Tissue1_Treatment1_2
B[All Fields] AND 5643[All Fields]	B	source_context_single_letter_code	low	12	0	12	0	12	disable_default	manual_review_only	HE513_St09_F02_B_18S
B[All Fields] AND 5806[All Fields]	B	source_context_single_letter_code	low	12	0	12	0	12	disable_default	manual_review_only	Metagenome-Assembled Genome spire_mag_01818912 in SPIRE v01 classified as Schlegelella_A
B[All Fields] AND 7147[All Fields]	B	source_context_single_letter_code	low	12	0	12	0	12	disable_default	manual_review_only	Metagenome-Assembled Genome spire_mag_01225420 in SPIRE v01 classified as Ruminococcus_B gnavus
B[All Fields] AND 7380[All Fields]	B	source_context_single_letter_code	low	12	0	12	0	12	disable_default	manual_review_only	Metagenome-Assembled Genome spire_mag_00132734 in SPIRE v01 classified as Brachymonas sp017993135
CS[All Fields] AND 284[All Fields]	CS	contextual_reference_code	medium	12	0	12	0	12	manual_review_only	manual_review_only	Plant sample from Cannabis sativa
B[All Fields] AND 11426[All Fields]	B	source_context_single_letter_code	low	11	0	11	0	11	disable_default	manual_review_only	Metagenome-Assembled Genome spire_mag_02748359 in SPIRE v01 classified as Lachnoclostridium_B sp900066555
B[All Fields] AND 5271[All Fields]	B	source_context_single_letter_code	low	11	0	11	0	11	disable_default	manual_review_only	Metagenome-Assembled Genome spire_mag_01649876 in SPIRE v01 classified as Lachnoclostridium_B sp000765215
B[All Fields] AND 5480[All Fields]	B	source_context_single_letter_code	low	11	0	11	0	11	disable_default	manual_review_only	Metagenome-Assembled Genome spire_mag_00492680 in SPIRE v01 classified as Schlegelella_A
B[All Fields] AND 7299[All Fields]	B	source_context_single_letter_code	low	11	0	11	0	11	disable_default	manual_review_only	Metagenome-Assembled Genome spire_mag_00134932 in SPIRE v01 classified as Brachymonas sp017993135
B[All Fields] AND 8511[All Fields]	B	source_context_single_letter_code	low	11	0	11	0	11	disable_default	manual_review_only	2960114
B[All Fields] AND 9313[All Fields]	B	source_context_single_letter_code	low	11	0	11	0	11	disable_default	manual_review_only	Metagenome or environmental sample from metagenome
ENA[All Fields] AND 2154[All Fields]	ENA	contextual_reference_code	medium	11	0	11	0	11	manual_review_only	manual_review_only	I21-1534-I21
ICMP[All Fields] AND 172[All Fields]	ICMP	known_collection_prefix	high	11	0	11	0	11	manual_review_only	manual_review_only	MIGS Eukaryotic sample from Pseudopithomyces chartarum
LMG[All Fields] AND 902[All Fields]	LMG	known_collection_prefix	high	11	0	11	0	11	manual_review_only	manual_review_only	Pelomonas saccharophila NBRC 103037
XB[All Fields] AND 109[All Fields]	XB	contextual_reference_code	medium	11	0	11	0	11	manual_review_only	manual_review_only	MIMAG Metagenome-assembled Genome sample from Thermoplasmatota archaeon
ENA[All Fields] AND 3045[All Fields]	ENA	contextual_reference_code	medium	11	1	10	1	10	fallback_only	fallback_only_text_word_and_organism	XE39009.0029.0412.2016.11.13
ORELLANA[All Fields] AND 19[All Fields]	ORELLANA	person_or_local_reference_code	low	11	1	10	1	10	fallback_only	fallback_only_text_word_and_organism	TE2119 Euglossa orellana
ATCC[All Fields] AND 11637[All Fields]	ATCC	known_collection_prefix	high	10	0	10	0	10	manual_review_only	manual_review_only	Pathogen: clinical or host-associated sample from Helicobacter pylori NCTC 11637 = CCUG 17874 = ATCC 43504 = JCM 12093
B[All Fields] AND 4487[All Fields]	B	source_context_single_letter_code	low	10	0	10	0	10	disable_default	manual_review_only	ERR7747394_virus.4487
B[All Fields] AND 5530[All Fields]	B	source_context_single_letter_code	low	10	0	10	0	10	disable_default	manual_review_only	Metagenome-Assembled Genome spire_mag_02675584 in SPIRE v01 classified as Ruminococcus_E bromii_B
B[All Fields] AND 6617[All Fields]	B	source_context_single_letter_code	low	10	0	10	0	10	disable_default	manual_review_only	ERR7738276_virus.2674
CS[All Fields] AND 283[All Fields]	CS	contextual_reference_code	medium	10	0	10	0	10	manual_review_only	manual_review_only	Plant sample from Cannabis sativa
LMG[All Fields] AND 872[All Fields]	LMG	known_collection_prefix	high	10	0	10	0	10	manual_review_only	manual_review_only	Pseudomonas nitroreducens NBRC 103160
XC[All Fields] AND 112[All Fields]	XC	contextual_reference_code	medium	10	0	10	0	10	manual_review_only	manual_review_only	9_XC
XC[All Fields] AND 59[All Fields]	XC	contextual_reference_code	medium	10	0	10	0	10	manual_review_only	manual_review_only	XC-59
ICMP[All Fields] AND 80[All Fields]	ICMP	known_collection_prefix	high	10	1	9	1	7	fallback_only	replace_all_fields_with_text_word_and_organism_then_pilot_attribute	MIGS Eukaryotic sample from Pseudopithomyces pavgii
B[All Fields] AND 3645[All Fields]	B	source_context_single_letter_code	low	9	0	9	0	9	manual_review_only	manual_review_only	Tongue
XC[All Fields] AND 63[All Fields]	XC	contextual_reference_code	medium	9	0	9	0	9	manual_review_only	manual_review_only	fermentation process grains
ARG[All Fields] AND 1A[All Fields]	ARG	contextual_reference_code	medium	10	2	8	2	8	manual_review_only	fallback_only_text_word_and_organism	Arg-1A
BO[All Fields] AND 193[All Fields]	BO	contextual_reference_code	medium	8	0	8	0	8	manual_review_only	manual_review_only	Human sample from Homo sapiens
B[All Fields] AND 7385[All Fields]	B	source_context_single_letter_code	low	8	0	8	0	8	manual_review_only	manual_review_only	Metagenome-Assembled Genome spire_mag_02713003 in SPIRE v01 classified as Ruminococcus_E bromii_B
ENA[All Fields] AND 2078[All Fields]	ENA	contextual_reference_code	medium	8	0	8	0	8	manual_review_only	manual_review_only	I21-1534-F17
ENA[All Fields] AND 2564[All Fields]	ENA	uppercase_general_code	medium	8	0	8	0	8	manual_review_only	manual_review_only	MBA1226.010.0360.2018.12.15
LX[All Fields] AND 105[All Fields]	LX	contextual_reference_code	medium	8	0	8	0	8	manual_review_only	manual_review_only	MIMARKS Survey related sample from human metagenome
ENA[All Fields] AND 3123[All Fields]	ENA	contextual_reference_code	medium	8	1	7	1	7	manual_review_only	fallback_only_text_word_and_organism	Genome sequencing of Xanthomonas sp. NCPPB 3442
XC[All Fields] AND 62[All Fields]	XC	contextual_reference_code	medium	8	1	7	1	7	manual_review_only	fallback_only_text_word_and_organism	fermentation process grains
ATCC[All Fields] AND 14179[All Fields]	ATCC	known_collection_prefix	high	7	0	7	0	7	manual_review_only	manual_review_only	Sphaerimonospora mesophila NBRC 14179
B[All Fields] AND 5562[All Fields]	B	source_context_single_letter_code	low	7	0	7	0	7	manual_review_only	manual_review_only	MIMARKS Survey related sample from bovine metagenome
ENA[All Fields] AND 2530[All Fields]	ENA	uppercase_general_code	medium	7	0	7	0	7	manual_review_only	manual_review_only	I22-1088-I13
LMG[All Fields] AND 848[All Fields]	LMG	known_collection_prefix	high	7	0	7	0	7	manual_review_only	manual_review_only	Lactococcus plantarum NBRC 100936
XF[All Fields] AND 105[All Fields]	XF	contextual_reference_code	medium	7	0	7	0	7	manual_review_only	manual_review_only	XF-105
NCPPB[All Fields] AND 1974[All Fields]	NCPPB	ncppb_number	high	12	0	6	6	0	keep_strict_profile	replace_all_fields_with_text_word_and_organism	Xanthomonas campestris pv. cannabis str. NCPPB 2877
PHAS[All Fields] AND 2[All Fields]	PHAS	contextual_reference_code	medium	7	1	6	1	6	manual_review_only	fallback_only_text_word_and_organism	SE_18HI-2
BRYAN[All Fields] AND 47[All Fields]	BRYAN	person_or_local_reference_code	low	6	0	6	0	6	manual_review_only	manual_review_only	donor 3418, atypical B cell subset 6, bulk RNA-seq
KIB[All Fields] AND 05[All Fields]	KIB	contextual_reference_code	medium	6	0	6	0	6	manual_review_only	manual_review_only	Plant sample from Lithachne pauciflora
LMG[All Fields] AND 939[All Fields]	LMG	known_collection_prefix	high	6	0	6	0	6	manual_review_only	manual_review_only	Halomonas sp. NBRC 102403
NE[All Fields] AND 744[All Fields]	NE	contextual_reference_code	medium	6	0	6	0	6	manual_review_only	manual_review_only	Sample from Bos indicus
XG[All Fields] AND 122[All Fields]	XG	general_code_candidate	low	6	0	6	0	6	manual_review_only	manual_review_only	Bovine muscle 3D induction
NCPPB[All Fields] AND 1975[All Fields]	NCPPB	ncppb_number	high	13	0	5	8	0	keep_strict_profile	replace_all_fields_with_text_word_and_organism	Genome sequencing of Xanthomonas sp. NCPPB 2866
ATCC[All Fields] AND 11633[All Fields]	ATCC	known_collection_prefix	high	6	1	5	1	5	manual_review_only	replace_all_fields_with_text_word_and_organism_then_pilot_attribute	ISX2
CS[All Fields] AND 56[All Fields] AND 27[All Fields]	CS	contextual_reference_code	medium	5	0	5	0	5	manual_review_only	manual_review_only	Illumina WGS of Mycobacterium tuberculosis: 32_0072
ICMP[All Fields] AND 66[All Fields]	ICMP	known_collection_prefix	high	5	0	5	0	5	manual_review_only	manual_review_only	PsyICMP4917
LMG[All Fields] AND 732[All Fields]	LMG	known_collection_prefix	high	5	0	5	0	5	manual_review_only	manual_review_only	Rhodococcus rhodochrous NBRC 16069
LMG[All Fields] AND 892[All Fields]	LMG	known_collection_prefix	high	5	0	5	0	4	manual_review_only	manual_review_only	Aureimonas altamirensis NBRC 107774
LRA[All Fields] AND 05[All Fields]	LRA	contextual_reference_code	medium	5	0	5	0	5	manual_review_only	manual_review_only	LRA_05
XB[All Fields] AND 110[All Fields]	XB	contextual_reference_code	medium	5	0	5	0	5	manual_review_only	manual_review_only	MIMAG Metagenome-assembled Genome sample from Pseudomonadota bacterium
XC[All Fields] AND 70[All Fields]	XC	contextual_reference_code	medium	5	0	5	0	5	manual_review_only	manual_review_only	Metagenome or environmental sample from sheep gut metagenome
ICMP[All Fields] AND 51[All Fields]	ICMP	known_collection_prefix	high	5	1	4	1	4	manual_review_only	replace_all_fields_with_text_word_and_organism_then_pilot_attribute	MIGS Eukaryotic sample from Pseudopithomyces chartarum
XCP[All Fields] AND 1[All Fields]	XCP	general_code_candidate	low	5	1	4	1	4	manual_review_only	fallback_only_text_word_and_organism	MCF-7 XCP 1
XCP[All Fields] AND 1[All Fields]	XCP	uppercase_general_code	medium	5	1	4	1	4	manual_review_only	fallback_only_text_word_and_organism	MCF-7 XCP 1
ATCC[All Fields] AND 19867[All Fields]	ATCC	known_collection_prefix	high	4	0	4	0	0	manual_review_only	manual_review_only	Generic sample from Stenotrophomonas maltophilia ATCC 19867
A[All Fields] AND 13A[All Fields]	A	source_context_single_letter_code	low	4	0	4	0	4	manual_review_only	manual_review_only	11369.m04.13A; Japanese skin microbiome and metabolome
A[All Fields] AND 2222[All Fields]	A	source_context_single_letter_code	low	4	0	4	0	4	manual_review_only	manual_review_only	Human sample from Homo sapiens
BAKER[All Fields] AND 507[All Fields]	BAKER	person_or_local_reference_code	low	4	0	4	0	4	manual_review_only	manual_review_only	MIMAG Metagenome-assembled Genome sample from Phycisphaerales bacterium
BS[All Fields] AND 469[All Fields]	BS	contextual_reference_code	medium	4	0	4	0	4	manual_review_only	manual_review_only	22215AnB_W438-2-BS_S147_L001_R1_001.fastq
B[All Fields] AND 11542[All Fields]	B	source_context_single_letter_code	low	4	0	4	0	4	manual_review_only	manual_review_only	Metagenome-Assembled Genome spire_mag_01292934 in SPIRE v01 classified as Rothia mucilaginosa_B
B[All Fields] AND 11688[All Fields]	B	source_context_single_letter_code	low	4	0	4	0	4	manual_review_only	manual_review_only	Metagenome-Assembled Genome spire_mag_01338393 in SPIRE v01 classified as Rothia mucilaginosa_B
B[All Fields] AND 5081[All Fields]	B	source_context_single_letter_code	low	4	0	4	0	4	manual_review_only	manual_review_only	Metagenome-Assembled Genome spire_mag_02598783 in SPIRE v01 classified as DP-1
B[All Fields] AND 9658[All Fields]	B	source_context_single_letter_code	low	4	0	4	0	4	manual_review_only	manual_review_only	Rehdera penninervia - Wallnofer, B. 9658 (K); K001765561
LMG[All Fields] AND 735[All Fields]	LMG	known_collection_prefix	high	4	0	4	0	4	manual_review_only	manual_review_only	LMG27198
LMG[All Fields] AND 947[All Fields]	LMG	known_collection_prefix	high	4	0	4	0	4	manual_review_only	manual_review_only	MIGS Cultured Bacterial/Archaeal sample from Malaciobacter canalis
